학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3135-01-00   ,3,국제마케팅 ,,,,,박영렬,"화7,목8,9",경영104,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3136-01-00   ,3,인적자원관리 ,,,,,이지만,"월3,4/수4",실시간온라인/경영B101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3136-02-00   ,3,인적자원관리 ,,,,,노현탁,"수5,금5,6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3136-03-00   ,3,인적자원관리 ,,,,,유이정,"화4/목5,6",경영B205/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3148-01-00   ,3,노사관계론 ,,,,,이지만,"월5,6/수6",실시간온라인/경영B101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3155-01-00   ,3,중급회계(2) ,,,,,지은상,"금7,8,9",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3158-01-00   ,3,비즈니스커뮤니케이션 ,,,,,이태희,"화7,목8,9",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3162-01-00   ,3,금융시장론 ,,,,,강기윤,"화5,6,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3175-01-00   ,3,글로벌기업과법적환경 ,,,,,김형진,"수1,2,3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3197-01-00   ,3,비즈니스애널리틱스 ,,,,,방영석,"화5,6,목4",경영B208,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3198-01-00   ,3,비즈니스프로그래밍 ,,,,,최한별,"수1,금1,2",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3198-02-00   ,3,비즈니스프로그래밍 ,,,,,최한별,"수3,금3,4",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4115-01-00   ,3,회계감사 ,,,,,"이호영,오명전","목6,7,8",경영B204,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4116-01-00   ,3,고급회계 ,,,,,최병철,"월9,10/수10",경영B204/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4122-01-00   ,3,파생상품론 ,,,,,박도준,"화5,6,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4123-01-00   ,3,기업분석과가치평가 ,,,,,장진호,"화2,3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4129-01-00   ,3,관계마케팅 ,,,,,이동진,"월1,2,수2",경영104,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4139-01-00   ,3,데이타를이용한의사결정 ,,,,,김학진,"월7,8,수8",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4147-01-00   ,3,불확실성과최적의사결정 ,,,,,"김성문,양지혜","월1,2/수2",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4148-01-00   ,3,세계신흥시장의이해와진출전략 ,,,,,박용석,"월1,2",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4150-01-00   ,3,프로젝트관리 ,,,,,임건신,"월7,8,수8",경영B205,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4151-01-00   ,3,인수합병과구조조정 ,,,,,장진호,"화5,6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4157-01-00   ,3,연경리더스포럼 ,,,,,"서길수,양정미","화8,9,10",경영103,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4159-01-00   ,3,경영윤리와지속가능경영포럼 ,,,,,"이호영,민순홍","수5,6,7",경영B204,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4167-01-00   ,3,서비스디자인 ,,,,,김진우,"목8,9,10",경영102,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4180-01-00   ,3,조직학습:기회와함정 ,,,,,이무원,"월7,8,수8",경영102,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4183-01-00   ,3,BUSINESS ETHICS AND CORPORATE SOCIAL RESPONSIBILITY: A PSYCHOLOGICAL APPROACH ,,,,,기랄안드레스,"화4,목5,6",경영B203,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4183-02-00   ,3,BUSINESS ETHICS AND CORPORATE SOCIAL RESPONSIBILITY: A PSYCHOLOGICAL APPROACH ,,,,,기랄안드레스,"화7,목8,9",경영B203,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4189-01-00   ,3,경영협상론 ,,,,,박헌준,"화1,2,3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, 19②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4190-01-00   ,3,창업401:창업기업컨설팅-uCAN ,,,,,박경민,"화7,8,9",경영B202,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4194-01-00   ,3,비즈니스애널리틱스를위한데이터마이닝 ,,,,,손재열,"화4/목5,6",실시간온라인/경영B208,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,4000,BIZ4197-01-00   ,3,상시창조적혁신과21세기형경영 ,,,,,신동엽,"목8,9,10",경영103,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,4,전선,4000,BIZ4177-01-00   ,3,마케팅전략모형 ,,,,,최정혜,"화7,8,9",경영B208,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
